trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-23.287626204456558,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8065414401773269}",25,0,-192.94464534385642,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-107.87276336332445,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7985162187593771}",20,0,-73.53223325454692,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-97.81109011083329,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7905708496287356}",20,0,-127.14012693725878,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-20.31227466350185,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7827045382418681}",20,0,-98.70099405067145,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,9,-63.460817268152745,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.774916497961081}",25,0,-146.6522868848769,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,14,-46.26149337933436,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.7672059499758557}",25,11,-29.7851436379304,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7633794943368531}",35,0,-205.4167215623674,"{0: 25, 1: 2, 2: 2, 3: 2, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.7595721232249685}",20,0,-127.98742124857299,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7557837414557255}",30,22,15.177353914932354,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7520142543193826}",30,0,-106.41612113784343,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-96.87810441937636,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7445315874659094}",30,4,-172.8803283333212,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,0,-77.16723153127505,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.7371233743916278}",20,5,-1.5954836486143122,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.7334469562242892}",30,0,-48.30146287359888,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,0,-72.73417202344346,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,7,-45.630227328269456,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.7225273536420722}",25,0,-120.2809237545803,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,3,-82.7420285360622,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.7153380863525599}",25,11,-10.518366092250838,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-95.20001160794256,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.7082203534678}",25,0,-128.81488292689846,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,10,-29.71007887806902,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.7011734432085724}",25,14,-5.1545466613422946,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.697676326071031}",20,3,-62.490419999517854,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.6941966508779789}",35,18,-81.7336092243,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,2,-69.16955696394075,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.6872892787909722}",25,0,-128.61344655398992,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",1
76,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,0,-89.36902643540844,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6804506362045877}",20,7,-50.9213853304392,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.6770568744981647}",30,3,-70.5925634362965,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.6736800392488677}",25,8,-60.22717117469206,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
80,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,10,-43.615842975724526,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,8,-57.54155259576763,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,1,-78.6503495335301,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.6603402807049829}",20,0,-69.62872535844038,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
